"","T50","M50","rate","range","FC","cv.crit","degF","spar","pen.crit","lambda","anova.p","kw.p","SidakP.t0.5","SidakP.t1","SidakP.t3","SidakP.t10","anova.FDR","kw.FDR","scaled_T50","tp.designation"
"4-Guanidinobutanoic acid",3.05893468692431,0.667101249199124,0.305893468692431,0.38889889988849,0.86615794930611,15.8604534657897,2.00000048349715,1.49999995337413,382.916648004024,4095.99682295433,0.878292445961539,0.870911088541201,0.972475753794753,0.944560228188084,0.871038471596424,0.796946410559613,1,1,0.251389787812019,NA
"4-Hydroxyphenyl pyruvic acid",3.53810327157357,0.907076575518257,0.353810327157357,0.692308321857104,0.793191913824631,15.6184810471751,2.69483313203722,0.616265517737584,357.189903610377,0.00168898522811232,0.0335016459987392,0.0398508131910464,0.0155791059340442,0.380476459106822,0.0505468210785453,0.0870607951146965,1,1,-0.162741990925421,"t0.5"
"4-Hydroxyproline",3.82628165338627,1.03967954386721,0.382628165338627,0.423345984880113,0.595774200987836,11.2649025454133,2.00000060150125,1.49999995568912,271.966920298394,4095.99698069591,0.026196015127667,0.0339352209345799,0.81315821879099,0.914262103422749,0.725499696358952,0.146462243003952,1,1,-0.411806369678731,NA
"5-Aminopentanoic acid",3.11865057246804,0.973778807108351,0.311865057246804,0.333953790188684,0.499703457219552,11.1991543561371,2.00000059699532,1.49999996786365,259.23967178865,4095.99781025711,0.136652607702369,0.107132589473998,0.976745657625145,0.946754331217457,0.409984243595258,0.0717318173938014,1,1,0.199779046433366,NA
"5-Methylthioadenosine",3.20460555315693,1.15932796470766,0.320460555315693,0.406025683707038,0.510529661321179,8.79973021243502,2.0000006190362,1.49999994960528,212.450619297993,4095.99656614821,0.000514124616060373,0.00616451554815741,0.421045119498645,0.220996305408225,0.00459944823710315,0.000163294277493272,0.0889435585784445,1,0.1254906014384,"t3"
"6-Phosphogluconic acid",4.40109641285183,1.38854981134277,0.440109641285183,1.11929639367798,1.23286753744676,6.13228679821445,2.00000051329745,1.49999995542058,148.050918282616,4095.9969623977,0.00000625607524106715,0.000648308078789229,0.867192293441442,0.750749065298362,0.0246002484560926,0.00014493144448654,0.00126372719869557,0.132903156151792,-0.908602416849168,"t3"
"Acetoacetic acid",2.01661379274449,1.36098836075384,0.201661379274449,-1.09086595973559,-1.22501225372566,12.1585930154233,2.79970142861759,0.594684469401298,275.763424002774,0.00117952954047204,0.00573424893006677,0.0439078862790472,0.131377903888939,0.100042960563611,0.117251803759507,0.000887942922033855,0.883074335230282,1,1.15223808995572,"t10"
"Acetoacetyl-CoA",4.22829281560069,1.94260669586025,0.422829281560069,3.52054676805748,4.34399776039747,5.20994026591115,2.3934666378462,0.667185260088718,122.004622946165,0.00394009530515537,0.0000000615729003273255,0.000187926865479333,0.00183824314750779,0.000194143856705666,0.00000104234192067248,0.0000000127201412836622,0.0000134844651716843,0.0424714715983293,-0.759253182791543,"t0.5"
"Acetoin",4.23078216393041,1.16618475146246,0.423078216393041,1.08026933551223,1.44653775945752,6.55414616752402,2.00000044324553,1.49999995781315,158.235809220759,4095.99712542561,0.000735619816073681,0.00944152698072196,0.998390213725631,0.998380183014336,0.3606713250442,0.000927791155738303,0.123584129100378,1,-0.761404655748478,"t10"
"Acetyl-CoA",5.6241308696799,1.80276533340605,0.56241308696799,1.58979640168696,1.3659091154964,3.3642257875798,4.77838699094778,0.404300021841963,64.79058042067,0.0000496860550028252,0.0000248206484656049,0.00277556067187233,0.998541236951775,0.994422283643933,0.125200017522364,0.0000241047892479907,0.00486484709925855,0.510703163624509,-1.96563631116035,"t10"
"Aconitic acid",1.69300577723284,0.966203126677631,0.169300577723284,-1.19809055108293,-2.09191927319075,3.85189394475305,3.8623501837581,0.492995292423369,80.1505034116661,0.000217286628770121,6.36021096300087e-10,0.0000879152440232606,0.16683260767503,0.0916761255004162,0.00000178772748126509,3.70418001931615e-10,0.000000150100978726821,0.0213634042976523,1.43192329339123,"t3"
"Adenine",3.63701588258256,1.00011259466401,0.363701588258256,0.454137042337987,0.666725613720261,5.66225136073891,2.00000045046091,1.4999999523371,136.702920972397,4095.99675229241,0.00000117429883476819,0.000483442816974039,0.682142721017427,0.240120766775061,0.000170161845195165,0.000000882273972594551,0.000241905559962248,0.101039548747574,-0.24822934725263,"t3"
"Adenosine",3.45391963489006,1.13837730620156,0.345391963489006,1.58727430829417,2.48652464720189,4.38938628664485,2.00000052852916,1.49999995016686,105.972321754862,4095.99660441394,4.78068640523176e-13,0.0000743530087379928,0.0000372232343357275,0.0000059198235185265,9.40549094853587e-12,3.46143262303747e-13,1.18082954209224e-10,0.0182908401495462,-0.0899844681720268,"t0.5"
"Adenylosuccinic acid",4.60936082230139,1.09912903065404,0.460936082230139,1.99637265649997,4.37693528516382,8.63704468534264,3.59949976624075,0.486649615172175,183.655777444424,0.000195518231880468,0.00000331398907179366,0.000429875771514054,0.0919265790125937,0.0141907492342423,0.00000598675106819375,0.00000438098957240067,0.000672739781574113,0.0911336635609794,-1.08859942227927,"t1"
"Adonitol",2.82659210826267,0.742552114872343,0.282659210826267,0.514219788895804,1.00485693023735,15.0192825268595,2.00000049860753,1.49999995174731,362.608378526543,4095.99671210421,0.0186660965086874,0.01559412657869,0.0641023336165156,0.127056826363689,0.0107216856854247,0.0163865391102093,1,1,0.452196870037618,"t3"
"ADP",2.98375223938002,0.948912656654258,0.298375223938002,0.498055110580801,0.775365903929343,11.7390267529612,2.00000066767732,1.49999995094049,283.413631336854,4095.99665712861,0.0073920100865707,0.0247913545339272,0.71328797875638,0.504888612116423,0.00874232177383759,0.00747286858027438,1,1,0.316367838812879,"t3"
