"","T50","M50","rate","range","FC","GCV","degF","spar","pen.crit","lambda","scaled_T50"
"Aconitic acid",3.07374195463595,0.966203126677631,0.307374195463595,-1.19809055108293,-2.09191927319075,-121.877033805651,29.9999983208971,-1.49985549321033,-1.14539489004528e-11,8.69449338194166e-19,0.0220854288931711
"Adenine",3.29847357345244,1.00011259466401,0.329847357345244,0.454137042337987,0.666725613720261,7.65609856008382,2.00000046303263,1.49999997267035,192.458470995512,4095.99813778148,-0.0268382604872761
"Adenosine",2.81612000440457,1.13837730620156,0.281612000440457,1.58727430829417,2.48652464720189,-0.568097212365612,28.9999862663984,-1.49971891777161,-3.69482222595252e-12,8.71426977300391e-19,0.0781692872175166
"Adenylosuccinic acid",4.09205640144624,1.09912903065404,0.409205640144624,1.99637265649997,4.37693528516382,8.0803272837744,2.51999533361723,0.634157242217258,187.357001288165,0.00227451365819749,-0.199599886015944
"Adonitol",2.79485167459081,0.672172633387701,0.279485167459081,0.37346082592652,0.693606463283848,14.7867716086996,2.60138800413304,0.632704452028123,311.372467794695,0.00222020229313804,0.0827993662732767
"ADP ribose",-0.991879633972985,1.1632062012813,-0.0991879633972985,2.28477195302484,6.24825859899878,0.298382104464592,14.4726714725286,-0.0886241311160282,1.73430686138016,1.36456925101075e-08,0.907164301136623
"ADP",-0.103730091810576,0.948912656654258,-0.0103730091810576,0.498055110580801,0.775365903929343,13.9692229736618,29.8869742054028,-0.506117327039157,0.00594848173778928,1.31438980460865e-11,0.713815663535157
"Alanine",15.2779573759224,1.26664029854319,1.52779573759224,1.25380545380798,1.56553608277833,3.74836686034974,23.8553960082615,-0.277762664931546,4.71746440761035,5.86843978041983e-10,-2.63475141296947
"ALCAR",0.987666344692229,0.938422247703627,0.0987666344692229,0.00605176291187515,-0.0458260072928553,14.6884158826845,24.5016156689907,-0.299157952133125,6.42025041353111,4.11100206812178e-10,0.476220524357206
"Allantoin",-0.911196678504439,1.16071267367057,-0.0911196678504439,0.574083797599021,0.728655416474582,0.574433254164071,27.1077195997324,-0.511247132454142,0.0163336877498068,1.20687634322424e-11,0.889599759607365
"Alpha-KMV",0.461526016404605,0.9314226368106,0.0461526016404605,-1.1006389250865,-1.95904083533559,7.56086339062198,3.73041670508235,0.501472111935208,159.051584222642,0.000250193284449086,0.590760374722852
"alpha-Ketoglutarate",0.292498357187023,1.30655504484889,0.0292498357187023,-1.6345262506873,-2.1178928932472,9.87205165596453,3.58377069858946,0.487720196012992,229.629571788047,0.000199031542058496,0.627557407289141
"Alpha-KIC",0.461526016404605,0.9314226368106,0.0461526016404605,-1.1006389250865,-1.95904083533559,7.56086339062198,3.73041670508235,0.501472111935208,159.051584222642,0.000250193284449086,0.590760374722852
"alpha-Ketoisovalerate (KIV)",0.282342729285112,1.099254523705,0.0282342729285112,-1.68746802303582,-2.92676637335943,5.50045415632718,4.65265228462204,0.430504941344955,117.799199637677,7.68347564693493e-05,0.629768270128794
"Aminoadipate",2.67560920220555,0.801102643737733,0.267560920220555,0.876930278109725,0.789675556110583,15.204589145811,2.00000032615938,1.49999995057987,351.958072895403,4095.99663255615,0.108758248742311
"Aminoisobutyric acid",2.34818695393213,0.946392830463457,0.234818695393213,-0.130948955959297,-0.0313040324345229,14.4400157524064,2.99552852184339,0.569079607282374,322.437090882868,0.000770408144163475,0.180037512671154
"Aminolevulinic acid",3.24208424668397,0.892467727967413,0.324208424668397,0.20263698705847,0.253633944342173,15.8517492650962,2.46870341463746,0.643811769654436,369.032745459495,0.00267079039388848,-0.0145624004115029
